Time;Channel A
(us);(V)

-5,00149985;-1,68737698
-5,00049985;-1,57480311
-4,99949985;-1,46222937
-4,99849985;-1,23738933
-4,99749985;-1,12481546
-4,99649985;-1,01224160
-4,99549985;-0,89997542
-4,99449985;-0,67482775
-4,99349985;-0,56225395
-4,99249985;-0,44998771
-4,99149985;-0,22484006
-4,99049985;-0,11226624
-4,98949985;0,11226624
-4,98849985;0,22484006
-4,98749985;0,44998771
-4,98649985;0,56225395
-4,98549985;0,67482775
-4,98449985;0,89997542
-4,98349985;1,01224160
-4,98249985;1,23738933
-4,98149985;1,46222937
-4,98049985;1,57480311
-4,97949985;1,68737698
-4,97849985;1,91221702
-4,97749985;2,02479076
-4,97649985;2,24993849
-4,97549985;2,47477865
-4,97449985;2,58735228
-4,97349985;2,69992614
-4,97249985;2,92476630
-4,97149985;3,03734016
-4,97049985;3,14991379
-4,96949985;3,37475395
-4,96849985;3,48732781
-4,96749985;3,59990168
-4,96649985;3,71247530
-4,96549985;3,82474160
-4,96449985;3,93731546
-4,96349985;4,04988909
-4,96249985;4,16246319
-4,96149985;4,27472925
-4,96049985;4,38730335
-4,95949985;4,49987698
-4,95849985;4,61245060
-4,95749985;4,61245060
-4,95649985;4,72471714
-4,95549985;4,72471714
-4,95449985;4,83729076
-4,95349985;4,83729076
-4,95249985;4,83729076
-4,95149985;4,83729076
-4,95049985;4,83729076
-4,94949985;4,94986486
-4,94849985;4,94986486
-4,94749985;4,94986486
-4,94649985;4,83729076
-4,94549985;4,94986486
-4,94449985;4,94986486
-4,94349985;4,83729076
-4,94249985;4,83729076
-4,94149985;4,83729076
-4,94049985;4,83729076
-4,93949985;4,72471714
-4,93849985;4,72471714
-4,93749985;4,72471714
-4,93649985;4,61245060
-4,93549985;4,61245060
-4,93449985;4,49987698
-4,93349985;4,38730335
-4,93249985;4,38730335
-4,93149985;4,38730335
-4,93049985;4,27472925
-4,92949985;4,16246319
-4,92849985;4,16246319
-4,92749985;4,04988909
-4,92649985;3,93731546
-4,92549985;3,93731546
-4,92449985;3,82474160
-4,92349985;3,71247530
-4,92249985;3,71247530
-4,92149985;3,59990168
-4,92049985;3,48732781
-4,91949985;3,37475395
-4,91849985;3,26218009
-4,91749985;3,14991379
-4,91649985;3,03734016
-4,91549985;2,92476630
-4,91449985;2,81219244
-4,91349986;2,69992614
-4,91249986;2,58735228
-4,91149986;2,47477865
-4,91049986;2,36220479
-4,90949986;2,24993849
-4,90849986;2,13736463
