Frequency;Channel A
(MHz);(dBu)

0,00000000;-15,38185883
0,03051758;-15,74106121
0,06103516;-20,89580345
0,09155273;-30,48933983
0,12207031;-46,76122665
0,15258789;-61,12877655
0,18310547;-62,65011597
0,21362305;-74,67097473
0,24414062;-72,82596588
0,27465820;-67,46947479
0,30517578;-68,99610901
0,33569336;-66,40383911
0,36621094;-64,95146179
0,39672852;-67,74604034
0,42724609;-76,21968079
0,45776367;-71,34469604
0,48828125;-68,54373932
0,51879883;-66,32471466
0,54931641;-65,73409271
0,57983398;-67,72211456
0,61035156;-67,86022186
0,64086914;-64,34288788
0,67138672;-62,58410645
0,70190430;-63,08290863
0,73242188;-64,97286987
0,76293945;-67,42227173
0,79345703;-68,99244690
0,82397461;-67,29809570
0,85449219;-64,25450134
0,88500977;-63,29227066
0,91552734;-63,84876633
0,94604492;-64,42987061
0,97656250;-65,77147675
1,00708008;-67,57759857
1,03759766;-67,49581909
1,06811523;-66,75487518
1,09863281;-68,29423523
1,12915039;-74,37996674
1,15966797;-72,92486572
1,19018555;-67,15804291
1,22070312;-64,86746979
1,25122070;-63,21051025
1,28173828;-61,93271255
1,31225586;-62,82221222
1,34277344;-67,21048737
1,37329102;-75,29383850
1,40380859;-77,88842010
1,43432617;-75,47179413
1,46484375;-69,70625305
1,49536133;-66,94032288
1,52587891;-67,84308624
1,55639648;-71,49465179
1,58691406;-68,80944061
1,61743164;-65,96794128
1,64794922;-65,85268402
1,67846680;-66,32171631
1,70898438;-65,84724426
1,73950195;-65,51130676
1,77001953;-64,24538422
1,80053711;-61,25436783
1,83105469;-59,26418686
1,86157227;-58,78723907
1,89208984;-59,45117569
1,92260742;-61,14514160
1,95312500;-64,14219666
1,98364258;-67,43560028
2,01416016;-67,02444458
2,04467773;-67,53982544
2,07519531;-71,88685608
2,10571289;-73,34825134
2,13623047;-69,48837280
2,16674805;-67,04065704
2,19726562;-65,36659241
2,22778320;-64,91322327
2,25830078;-66,33958435
2,28881836;-70,49239349
2,31933594;-80,37316895
2,34985352;-71,55083466
2,38037109;-65,63465881
2,41088867;-63,36309814
2,44140625;-63,27213287
2,47192383;-65,14567566
2,50244141;-71,71591187
2,53295898;-70,54319763
2,56347656;-62,80313110
2,59399414;-60,43949127
2,62451172;-59,71179962
2,65502930;-58,57160187
2,68554688;-57,02297211
2,71606445;-56,21719742
2,74658203;-57,08103561
2,77709961;-60,35954285
2,80761719;-66,31325531
2,83813477;-69,93031311
2,86865234;-69,46075439
2,89916992;-69,17412567
2,92968750;-70,13638306
2,96020508;-74,09104156
2,99072266;-78,99479675
3,02124023;-79,52416229
3,05175781;-74,88187408
3,08227539;-70,17172241
3,11279297;-66,98866272
3,14331055;-66,44369507
3,17382812;-69,26306915
3,20434570;-69,18728638
3,23486328;-62,61814499
3,26538086;-59,69960785
3,29589844;-60,40353394
3,32641602;-66,22099304
3,35693359;-69,70313263
3,38745117;-61,91697693
3,41796875;-61,31105423
3,44848633;-65,40977478
3,47900391;-78,02942657
3,50952148;-73,60586548
3,54003906;-66,30363464
3,57055664;-63,32711792
3,60107422;-63,53777313
3,63159180;-65,03540802
3,66210938;-67,53459167
3,69262695;-70,23865509
3,72314453;-68,26499176
3,75366211;-66,03781891
3,78417969;-64,70968628
3,81469727;-63,86537170
3,84521484;-62,75265503
3,87573242;-62,53919983
3,90625000;-64,12446594
3,93676758;-63,63283539
3,96728516;-63,48629761
3,99780273;-63,23146820
4,02832031;-61,44110870
4,05883789;-60,45266724
4,08935547;-62,14371490
4,11987305;-69,30830383
4,15039062;-72,16841125
4,18090820;-66,41826630
4,21142578;-76,97655487
4,24194336;-70,73613739
4,27246094;-64,56278992
4,30297852;-59,43838120
4,33349609;-58,55207062
4,36401367;-63,61047745
4,39453125;-65,09191895
4,42504883;-64,25091553
4,45556641;-67,24863434
4,48608398;-67,42408752
