Frequency;Channel A
(MHz);(dBu)

0,00000000;-12,51635647
0,01525879;-15,74918175
0,03051758;-24,10670280
0,04577637;-41,27293015
0,06103516;-82,36868286
0,07629395;-75,08106995
0,09155273;-67,29341125
0,10681152;-72,31885529
0,12207031;-68,87437439
0,13732910;-65,53073883
0,15258789;-66,29134369
0,16784668;-69,26712036
0,18310547;-73,90390015
0,19836426;-65,85674286
0,21362305;-63,39107895
0,22888184;-64,32943726
0,24414062;-70,68550873
0,25939941;-85,89028931
0,27465820;-78,73876953
0,28991699;-73,49679565
0,30517578;-73,07571411
0,32043457;-75,76780701
0,33569336;-74,68772125
0,35095215;-73,27300262
0,36621094;-69,20381165
0,38146973;-68,67096710
0,39672852;-70,76439667
0,41198730;-73,11320496
0,42724609;-70,71608734
0,44250488;-65,68464661
0,45776367;-62,74804688
0,47302246;-63,11751938
0,48828125;-67,53633118
0,50354004;-67,88510132
0,51879883;-67,74201965
0,53405762;-73,47098541
0,54931641;-70,44379425
0,56457520;-68,87333679
0,57983398;-70,82540894
0,59509277;-71,81593323
0,61035156;-70,45374298
0,62561035;-67,46674347
0,64086914;-65,56337738
0,65612793;-65,61361694
0,67138672;-66,14466095
0,68664551;-67,36929321
0,70190430;-67,91809845
0,71716309;-66,27124023
0,73242188;-65,59780884
0,74768066;-69,64545441
0,76293945;-70,95658112
0,77819824;-70,34799194
0,79345703;-83,56471252
0,80871582;-73,85592651
0,82397461;-72,46647644
0,83923340;-71,84214783
0,85449219;-65,89875031
0,86975098;-65,61662292
0,88500977;-68,48370361
0,90026855;-71,89494324
0,91552734;-82,95805359
0,93078613;-71,24157715
0,94604492;-67,30638885
0,96130371;-68,17253876
0,97656250;-79,31114197
0,99182129;-71,75984192
1,00708008;-65,86873627
1,02233887;-63,46945953
1,03759766;-62,26101685
1,05285645;-61,98849487
1,06811523;-62,96003723
1,08337402;-65,30207062
1,09863281;-66,30120087
1,11389160;-67,34815216
1,12915039;-71,37602234
1,14440918;-81,21204376
1,15966797;-78,61748505
1,17492676;-72,80963135
1,19018555;-69,12311554
1,20544434;-65,09658813
1,22070312;-64,15444946
1,23596191;-66,47711182
1,25122070;-70,07206726
1,26647949;-71,00396729
1,28173828;-70,11053467
1,29699707;-70,76821136
1,31225586;-71,68000031
1,32751465;-74,31469727
1,34277344;-70,75911713
1,35803223;-67,71701813
1,37329102;-72,15273285
1,38854980;-60,62803650
1,40380859;-55,51659012
1,41906738;-55,65560150
1,43432617;-58,98490524
1,44958496;-62,89182281
1,46484375;-68,54911804
1,48010254;-74,33559418
1,49536133;-68,80461884
1,51062012;-67,83049774
1,52587891;-67,81980896
1,54113770;-68,44281769
1,55639648;-69,82415009
1,57165527;-73,87003326
1,58691406;-83,46939850
1,60217285;-71,67863464
1,61743164;-71,15105438
1,63269043;-69,83082581
1,64794922;-64,58911896
1,66320801;-63,91889954
1,67846680;-69,26687622
1,69372559;-74,93427277
1,70898438;-75,89534760
1,72424316;-85,16082764
1,73950195;-72,43312836
1,75476074;-69,96443939
1,77001953;-69,37542725
1,78527832;-69,54619598
1,80053711;-65,41520691
1,81579590;-61,89556503
1,83105469;-61,89283752
1,84631348;-64,51993561
1,86157227;-66,39405823
1,87683105;-69,87117767
1,89208984;-81,22345734
1,90734863;-77,46440887
1,92260742;-70,08990479
1,93786621;-65,79872131
1,95312500;-63,81235123
1,96838379;-62,28656006
1,98364258;-62,25336075
1,99890137;-67,05384064
2,01416016;-79,76773071
2,02941895;-71,70789337
2,04467773;-68,74964905
2,05993652;-70,43791962
2,07519531;-75,08210754
2,09045410;-75,29573059
2,10571289;-70,56884003
2,12097168;-68,13607025
2,13623047;-67,12950134
2,15148926;-68,02254486
2,16674805;-70,46283722
2,18200684;-72,05935669
2,19726562;-77,07975769
2,21252441;-76,36202240
2,22778320;-73,50800323
2,24304199;-75,55364990
