Time;Channel A
(us);(mV)

-10,00199973;-23,52669716
-10,00099973;-23,52669716
-9,99999973;-22,40711021
-9,99899973;-21,28752327
-9,99799973;-21,28752327
-9,99699973;-20,16793633
-9,99599973;-19,04527283
-9,99499973;-19,04527283
-9,99399973;-17,92568779
-9,99299973;-17,92568779
-9,99199973;-16,80610085
-9,99099973;-15,68343925
-9,98999973;-14,56385231
-9,98899973;-14,56385231
-9,98799973;-13,44426537
-9,98699973;-12,32467842
-9,98599973;-12,32467842
-9,98499973;-11,20201683
-9,98399973;-8,96284389
-9,98299973;-8,96284389
-9,98199973;-7,84018135
-9,98099973;-6,72059488
-9,97999973;-5,60100842
-9,97899973;-4,48142195
-9,97799973;-3,35875964
-9,97699973;-2,23917317
-9,97599973;-1,11958659
-9,97499973;0,00000000
-9,97399973;1,11958659
-9,97299973;2,23917317
-9,97199973;3,35875964
-9,97099973;4,48142195
-9,96999973;5,60100842
-9,96899973;6,72059488
-9,96799973;7,84018135
-9,96699973;8,96284389
-9,96599973;10,08243084
-9,96499973;11,20201683
-9,96399973;12,32467842
-9,96299973;13,44426537
-9,96199973;14,56385231
-9,96099973;15,68343925
-9,95999973;16,80610085
-9,95899973;17,92568779
-9,95799973;19,04527283
-9,95699973;19,04527283
-9,95599973;20,16793633
-9,95499973;21,28752327
-9,95399973;22,40711021
-9,95299973;23,52669716
-9,95199973;23,52669716
-9,95099973;24,64935684
-9,94999973;25,76894569
-9,94899973;25,76894569
-9,94799973;26,88853073
-9,94699973;26,88853073
-9,94599973;28,01119423
-9,94499973;28,01119423
-9,94399973;29,13078117
-9,94299973;29,13078117
-9,94199973;30,25036621
-9,94099973;30,25036621
-9,93999973;30,25036621
-9,93899973;30,25036621
-9,93799973;30,25036621
-9,93699973;30,25036621
-9,93599973;30,25036621
-9,93499973;30,25036621
-9,93399973;30,25036621
-9,93299973;31,36995316
-9,93199973;31,36995316
-9,93099973;31,36995316
-9,92999973;30,25036621
-9,92899973;30,25036621
-9,92799973;30,25036621
-9,92699973;30,25036621
-9,92599973;29,13078117
-9,92499973;29,13078117
-9,92399973;29,13078117
-9,92299973;29,13078117
-9,92199973;28,01119423
-9,92099973;29,13078117
-9,91999973;28,01119423
-9,91899973;26,88853073
-9,91799973;26,88853073
-9,91699973;25,76894569
-9,91599973;25,76894569
-9,91499973;24,64935684
-9,91399973;23,52669716
-9,91299973;23,52669716
-9,91199973;22,40711021
-9,91099973;22,40711021
-9,90999973;21,28752327
-9,90899973;20,16793633
-9,90799973;19,04527283
-9,90699973;19,04527283
-9,90599973;17,92568779
-9,90499973;16,80610085
-9,90399973;15,68343925
-9,90299973;14,56385231
-9,90199973;13,44426537
-9,90099973;13,44426537
-9,89999973;12,32467842
-9,89899973;11,20201683
-9,89799973;10,08243084
-9,89699973;8,96284389
-9,89599973;7,84018135
-9,89499973;6,72059488
-9,89399973;5,60100842
-9,89299973;4,48142195
-9,89199973;3,35875964
-9,89099973;2,23917317
-9,88999973;0,00000000
-9,88899973;0,00000000
-9,88799973;-1,11958659
-9,88699973;-2,23917317
-9,88599973;-3,35875964
-9,88499973;-5,60100842
-9,88399973;-6,72059488
-9,88299973;-7,84018135
-9,88199973;-8,96284389
-9,88099973;-10,08243084
-9,87999973;-11,20201683
-9,87899973;-11,20201683
-9,87799973;-13,44426537
-9,87699973;-14,56385231
-9,87599973;-15,68343925
-9,87499973;-16,80610085
-9,87399973;-17,92568779
-9,87299973;-19,04527283
-9,87199973;-20,16793633
-9,87099973;-20,16793633
-9,86999973;-21,28752327
-9,86899973;-22,40711021
-9,86799973;-23,52669716
-9,86699973;-24,64935684
-9,86599973;-24,64935684
-9,86499973;-25,76894569
-9,86399973;-25,76894569
-9,86299973;-26,88853073
-9,86199973;-26,88853073
-9,86099973;-28,01119423
-9,85999973;-28,01119423
-9,85899973;-28,01119423
-9,85799973;-29,13078117
-9,85699973;-29,13078117
-9,85599973;-29,13078117
-9,85499973;-29,13078117
-9,85399973;-29,13078117
-9,85299973;-29,13078117
-9,85199973;-29,13078117
-9,85099973;-29,13078117
-9,84999973;-29,13078117
-9,84899973;-29,13078117
-9,84799973;-29,13078117
-9,84699973;-29,13078117
-9,84599973;-29,13078117
-9,84499973;-29,13078117
-9,84399973;-29,13078117
-9,84299973;-28,01119423
-9,84199973;-28,01119423
-9,84099973;-28,01119423
-9,83999973;-26,88853073
-9,83899973;-26,88853073
-9,83799973;-26,88853073
-9,83699973;-26,88853073
-9,83599973;-26,88853073
-9,83499973;-25,76894569
-9,83399973;-25,76894569
-9,83299973;-24,64935684
-9,83199973;-24,64935684
-9,83099973;-24,64935684
-9,82999973;-24,64935684
-9,82899973;-24,64935684
-9,82799973;-24,64935684
-9,82699973;-23,52669716
-9,82599973;-23,52669716
-9,82499973;-22,40711021
-9,82399973;-21,28752327
-9,82299973;-21,28752327
-9,82199973;-20,16793633
-9,82099973;-19,04527283
-9,81999973;-19,04527283
-9,81899973;-17,92568779
-9,81799973;-17,92568779
-9,81699973;-16,80610085
-9,81599973;-15,68343925
-9,81499973;-15,68343925
-9,81399973;-14,56385231
-9,81299973;-13,44426537
-9,81199973;-12,32467842
-9,81099973;-11,20201683
-9,80999973;-10,08243084
-9,80899973;-8,96284389
-9,80799973;-8,96284389
-9,80699973;-7,84018135
-9,80599973;-6,72059488
-9,80499973;-5,60100842
-9,80399973;-4,48142195
-9,80299973;-3,35875964
-9,80199973;-2,23917317
-9,80099973;-1,11958659
-9,79999973;0,00000000
-9,79899973;1,11958659
-9,79799973;2,23917317
-9,79699973;3,35875964
-9,79599973;4,48142195
-9,79499973;5,60100842
-9,79399973;6,72059488
-9,79299973;7,84018135
-9,79199973;8,96284389
-9,79099973;10,08243084
-9,78999973;11,20201683
-9,78899973;12,32467842
-9,78799973;13,44426537
-9,78699973;14,56385231
-9,78599973;15,68343925
-9,78499973;16,80610085
-9,78399973;17,92568779
-9,78299973;19,04527283
-9,78199973;19,04527283
-9,78099973;20,16793633
-9,77999973;21,28752327
-9,77899973;22,40711021
-9,77799973;22,40711021
-9,77699973;23,52669716
-9,77599973;24,64935684
-9,77499973;25,76894569
-9,77399973;25,76894569
-9,77299973;26,88853073
-9,77199973;26,88853073
-9,77099973;28,01119423
-9,76999973;29,13078117
-9,76899973;29,13078117
-9,76799973;29,13078117
-9,76699973;30,25036621
-9,76599973;30,25036621
-9,76499973;30,25036621
-9,76399973;30,25036621
-9,76299973;30,25036621
-9,76199973;31,36995316
-9,76099973;31,36995316
-9,75999973;30,25036621
-9,75899973;31,36995316
-9,75799973;31,36995316
-9,75699973;31,36995316
-9,75599973;30,25036621
-9,75499973;30,25036621
-9,75399973;30,25036621
-9,75299973;30,25036621
-9,75199973;30,25036621
-9,75099973;30,25036621
-9,74999973;30,25036621
-9,74899973;29,13078117
-9,74799973;28,01119423
-9,74699973;29,13078117
-9,74599973;28,01119423
-9,74499973;28,01119423
-9,74399973;28,01119423
-9,74299973;26,88853073
-9,74199973;25,76894569
-9,74099973;25,76894569
-9,73999973;24,64935684
-9,73899973;23,52669716
-9,73799973;23,52669716
-9,73699973;22,40711021
-9,73599973;21,28752327
-9,73499973;21,28752327
-9,73399973;20,16793633
-9,73299973;20,16793633
-9,73199973;17,92568779
-9,73099973;17,92568779
-9,72999973;16,80610085
-9,72899973;15,68343925
-9,72799973;14,56385231
-9,72699973;13,44426537
-9,72599973;12,32467842
-9,72499973;12,32467842
-9,72399973;11,20201683
-9,72299973;8,96284389
-9,72199973;7,84018135
-9,72099973;7,84018135
-9,71999973;7,84018135
-9,71899973;5,60100842
-9,71799973;3,35875964
-9,71699973;3,35875964
-9,71599973;2,23917317
-9,71499973;1,11958659
-9,71399973;0,00000000
-9,71299973;-2,23917317
-9,71199973;-3,35875964
-9,71099973;-4,48142195
-9,70999973;-5,60100842
-9,70899973;-6,72059488
-9,70799973;-7,84018135
-9,70699973;-7,84018135
-9,70599973;-10,08243084
-9,70499973;-11,20201683
-9,70399973;-12,32467842
-9,70299973;-13,44426537
-9,70199973;-14,56385231
-9,70099973;-15,68343925
-9,69999973;-16,80610085
-9,69899973;-17,92568779
-9,69799973;-19,04527283
-9,69699973;-20,16793633
-9,69599973;-20,16793633
-9,69499973;-21,28752327
-9,69399973;-22,40711021
-9,69299973;-23,52669716
-9,69199973;-24,64935684
-9,69099974;-24,64935684
-9,68999974;-25,76894569
-9,68899974;-25,76894569
-9,68799974;-26,88853073
-9,68699974;-28,01119423
-9,68599974;-28,01119423
-9,68499974;-28,01119423
-9,68399974;-28,01119423
-9,68299974;-28,01119423
-9,68199974;-29,13078117
-9,68099974;-29,13078117
-9,67999974;-29,13078117
-9,67899974;-29,13078117
-9,67799974;-30,25036621
-9,67699974;-30,25036621
-9,67599974;-29,13078117
-9,67499974;-29,13078117
-9,67399974;-29,13078117
-9,67299974;-29,13078117
-9,67199974;-29,13078117
-9,67099974;-29,13078117
-9,66999974;-29,13078117
-9,66899974;-28,01119423
-9,66799974;-29,13078117
-9,66699974;-28,01119423
-9,66599974;-28,01119423
-9,66499974;-26,88853073
-9,66399974;-26,88853073
-9,66299974;-26,88853073
-9,66199974;-26,88853073
-9,66099974;-25,76894569
-9,65999974;-25,76894569
-9,65899974;-25,76894569
-9,65799974;-24,64935684
-9,65699974;-24,64935684
-9,65599974;-24,64935684
-9,65499974;-24,64935684
-9,65399974;-24,64935684
-9,65299974;-23,52669716
-9,65199974;-23,52669716
-9,65099974;-23,52669716
-9,64999974;-22,40711021
-9,64899974;-22,40711021
-9,64799974;-21,28752327
-9,64699974;-20,16793633
-9,64599974;-19,04527283
-9,64499974;-19,04527283
-9,64399974;-17,92568779
-9,64299974;-17,92568779
-9,64199974;-16,80610085
-9,64099974;-15,68343925
-9,63999974;-15,68343925
-9,63899974;-14,56385231
-9,63799974;-13,44426537
-9,63699974;-13,44426537
-9,63599974;-12,32467842
-9,63499974;-11,20201683
-9,63399974;-10,08243084
-9,63299974;-8,96284389
-9,63199974;-7,84018135
-9,63099974;-6,72059488
-9,62999974;-5,60100842
-9,62899974;-4,48142195
-9,62799974;-3,35875964
-9,62699974;-2,23917317
-9,62599974;-1,11958659
-9,62499974;0,00000000
-9,62399974;1,11958659
-9,62299974;2,23917317
-9,62199974;3,35875964
-9,62099974;4,48142195
-9,61999974;5,60100842
-9,61899974;6,72059488
-9,61799974;7,84018135
-9,61699974;8,96284389
-9,61599974;10,08243084
-9,61499974;11,20201683
-9,61399974;12,32467842
-9,61299974;13,44426537
-9,61199974;14,56385231
-9,61099974;15,68343925
-9,60999974;16,80610085
-9,60899974;17,92568779
-9,60799974;19,04527283
-9,60699974;20,16793633
-9,60599974;20,16793633
-9,60499974;21,28752327
-9,60399974;22,40711021
-9,60299974;23,52669716
-9,60199974;24,64935684
-9,60099974;24,64935684
-9,59999974;25,76894569
-9,59899974;25,76894569
-9,59799974;26,88853073
-9,59699974;28,01119423
-9,59599974;28,01119423
-9,59499974;29,13078117
-9,59399974;29,13078117
-9,59299974;29,13078117
-9,59199974;29,13078117
-9,59099974;30,25036621
-9,58999974;30,25036621
-9,58899974;30,25036621
-9,58799974;30,25036621
-9,58699974;30,25036621
-9,58599974;30,25036621
-9,58499974;30,25036621
-9,58399974;31,36995316
-9,58299974;31,36995316
-9,58199974;31,36995316
-9,58099974;31,36995316
-9,57999974;30,25036621
-9,57899974;30,25036621
-9,57799974;30,25036621
-9,57699974;30,25036621
-9,57599974;30,25036621
-9,57499974;30,25036621
-9,57399974;29,13078117
-9,57299974;29,13078117
-9,57199974;29,13078117
-9,57099974;28,01119423
-9,56999974;28,01119423
-9,56899974;28,01119423
-9,56799974;26,88853073
-9,56699974;25,76894569
-9,56599974;25,76894569
-9,56499974;24,64935684
-9,56399974;23,52669716
-9,56299974;22,40711021
-9,56199974;22,40711021
-9,56099974;22,40711021
-9,55999974;21,28752327
-9,55899974;20,16793633
-9,55799974;19,04527283
-9,55699974;19,04527283
-9,55599974;17,92568779
-9,55499974;16,80610085
-9,55399974;15,68343925
-9,55299974;14,56385231
-9,55199974;13,44426537
-9,55099974;12,32467842
-9,54999974;11,20201683
-9,54899974;11,20201683
-9,54799974;10,08243084
-9,54699974;8,96284389
-9,54599974;7,84018135
-9,54499974;6,72059488
-9,54399974;5,60100842
-9,54299974;4,48142195
-9,54199974;3,35875964
-9,54099974;2,23917317
-9,53999974;1,11958659
-9,53899974;0,00000000
-9,53799974;-1,11958659
-9,53699974;-3,35875964
-9,53599974;-4,48142195
-9,53499974;-5,60100842
-9,53399974;-6,72059488
-9,53299974;-7,84018135
-9,53199974;-8,96284389
-9,53099974;-10,08243084
-9,52999974;-11,20201683
-9,52899974;-12,32467842
-9,52799974;-13,44426537
-9,52699974;-14,56385231
-9,52599974;-15,68343925
-9,52499974;-16,80610085
-9,52399974;-17,92568779
-9,52299974;-19,04527283
-9,52199974;-20,16793633
-9,52099974;-20,16793633
-9,51999974;-21,28752327
-9,51899974;-22,40711021
-9,51799974;-23,52669716
-9,51699974;-23,52669716
-9,51599974;-25,76894569
-9,51499974;-25,76894569
