Frequency;Channel A
(MHz);(dBu)

0,00000000;-12,71706772
0,01525879;-15,95146179
0,03051758;-24,30491447
0,04577637;-41,15546799
0,06103516;-60,34591293
0,07629395;-68,63110352
0,09155273;-66,13445282
0,10681152;-89,61306763
0,12207031;-81,65913391
0,13732910;-74,19432068
0,15258789;-63,55619812
0,16784668;-59,89326859
0,18310547;-60,79874420
0,19836426;-64,91596985
0,21362305;-72,61061859
0,22888184;-69,22325897
0,24414062;-65,98998260
0,25939941;-68,39923096
0,27465820;-82,23442841
0,28991699;-68,45076752
0,30517578;-65,16471100
0,32043457;-66,41375732
0,33569336;-70,76702118
0,35095215;-76,85040283
0,36621094;-80,24672699
0,38146973;-72,60781097
0,39672852;-76,52339172
0,41198730;-76,68809509
0,42724609;-66,53828430
0,44250488;-66,08554840
0,45776367;-72,70243835
0,47302246;-82,02098846
0,48828125;-83,45132446
0,50354004;-70,94973755
0,51879883;-66,55940247
0,53405762;-64,02980042
0,54931641;-63,88094330
0,56457520;-67,42541504
0,57983398;-76,33509827
0,59509277;-74,86093903
0,61035156;-70,86906433
0,62561035;-70,37958527
0,64086914;-75,02455902
0,65612793;-75,22520447
0,67138672;-69,59854126
0,68664551;-68,71311188
0,70190430;-70,69429016
0,71716309;-74,88317108
0,73242188;-76,77072906
0,74768066;-75,31240082
0,76293945;-76,65857697
0,77819824;-74,45532227
0,79345703;-68,56996155
0,80871582;-66,48922729
0,82397461;-67,08115387
0,83923340;-68,03721619
0,85449219;-69,79773712
0,86975098;-74,03038788
0,88500977;-73,69332886
0,90026855;-67,78644562
0,91552734;-65,43067169
0,93078613;-66,02959442
0,94604492;-68,23467255
0,96130371;-70,71265411
0,97656250;-78,68106079
0,99182129;-70,05128479
1,00708008;-62,21086121
1,02233887;-61,28970718
1,03759766;-66,54911041
1,05285645;-75,43032837
1,06811523;-66,05780792
1,08337402;-64,65947723
1,09863281;-64,46990204
1,11389160;-64,28062439
1,12915039;-67,64859009
1,14440918;-86,12486267
1,15966797;-74,77220154
1,17492676;-84,17848206
1,19018555;-76,39946747
1,20544434;-73,09825134
1,22070312;-73,13452148
1,23596191;-69,92563629
1,25122070;-66,20938110
1,26647949;-63,77722168
1,28173828;-64,49188995
1,29699707;-67,59333801
1,31225586;-69,17370605
1,32751465;-70,00122833
1,34277344;-72,68333435
1,35803223;-69,70246887
1,37329102;-66,26292419
1,38854980;-67,89242554
1,40380859;-74,55900574
1,41906738;-72,97705841
1,43432617;-68,21434021
1,44958496;-70,04376984
1,46484375;-72,43077087
1,48010254;-72,30139160
1,49536133;-69,63511658
1,51062012;-65,54085541
1,52587891;-65,58702850
1,54113770;-72,82122803
1,55639648;-80,02403259
1,57165527;-69,67238617
1,58691406;-67,17802429
1,60217285;-68,16315460
1,61743164;-70,98422241
1,63269043;-70,71392822
1,64794922;-68,89262390
1,66320801;-68,45175171
1,67846680;-69,05935669
1,69372559;-70,29869843
1,70898438;-70,94168091
1,72424316;-68,99719238
1,73950195;-67,52307129
1,75476074;-66,61949921
1,77001953;-64,34250641
1,78527832;-62,67568970
1,80053711;-63,43928528
1,81579590;-68,28726196
1,83105469;-76,12165070
1,84631348;-69,73437500
1,86157227;-66,55061340
1,87683105;-67,04821777
1,89208984;-72,73096466
1,90734863;-74,08158112
1,92260742;-67,47697449
1,93786621;-66,28357697
1,95312500;-68,32049561
1,96838379;-69,21205139
1,98364258;-69,58115387
1,99890137;-67,38493347
2,01416016;-65,82939911
2,02941895;-67,57240295
2,04467773;-74,78873444
2,05993652;-76,25849915
2,07519531;-71,38990021
2,09045410;-74,80609131
2,10571289;-75,75425720
2,12097168;-70,25315094
2,13623047;-69,68914795
2,15148926;-73,90528870
2,16674805;-73,31599426
2,18200684;-73,67428589
2,19726562;-76,26866913
2,21252441;-74,94301605
2,22778320;-63,98489380
2,24304199;-58,63933182
