Circuit: * C:\Users\torbe\Documents\2.0 Studium\6.0 Semester\M6.10 Analoge Schaltungen (ANS)\ANS-VCO-Projekt-2026\sim\Wien-VCO.asc

Warning: Multiple definitions of model "1n750" Type: Diode
Direct Newton iteration for .op point succeeded.
.step v1=0
Heightened Def Con from 0.000572003 to 0.000572003
Heightened Def Con from 0.000572003 ++to 0.000572003
Heightened Def Con from 0.000572003 +++to 0.000572003
Heightened Def Con from 0.000572443 to 0.000572443
Heightened Def Con from 0.000572443 to 0.000572443
Heightened Def Con from 0.000572443 to 0.000572443
Heightened Def Con from 0.000572443 ++++to 0.000572443
Heightened Def Con from 0.000572443 to 0.000572443
Heightened Def Con from 0.000572443 to 0.000572443
Heightened Def Con from 0.00057457 to 0.00057457
Heightened Def Con from 0.00057457 to 0.00057457
Heightened Def Con from 0.000575066 +++to 0.000575066
Heightened Def Con from 0.000575066 to 0.000575066
Heightened Def Con from 0.000575066 to 0.000575066
Heightened Def Con from 0.000575164 to 0.000575164
Heightened Def Con from 0.000575164 to 0.000575164
Heightened Def Con from 0.000575164 to 0.000575164
Heightened Def Con from 0.000575164 to 0.000575164
Heightened Def Con from 0.000575461 to 0.000575461
Heightened Def Con from 0.000575953 to 0.000575953
Heightened Def Con from 0.000575953 to 0.000575953
Heightened Def Con from 0.000578126 to 0.000578126
Heightened Def Con from 0.000578126 to 0.000578126
Heightened Def Con from 0.000578126 +++++++++to 0.000578126
Heightened Def Con from 0.000578824 to 0.000578824
Heightened Def Con from 0.000578824 to 0.000578824
Heightened Def Con from 0.000578824 ++to 0.000578824
Heightened Def Con from 0.000579817 to 0.000579817
Heightened Def Con from 0.000579817 to 0.000579817
Heightened Def Con from 0.000579817 to 0.000579817
Heightened Def Con from 0.000579817 to 0.000579817
Heightened Def Con from 0.000579817 to 0.000579817
Heightened Def Con from 0.000579817 ++++to 0.000579817
Heightened Def Con from 0.000580112 +to 0.000580112
Heightened Def Con from 0.000580112 to 0.000580112
Heightened Def Con from 0.000580413 +to 0.000580413
Heightened Def Con from 0.000580413 to 0.000580413
Heightened Def Con from 0.000581807 +to 0.000581807
Heightened Def Con from 0.000581807 ++to 0.000581807
Heightened Def Con from 0.000581807 +++++to 0.000581807
Heightened Def Con from 0.000581807 +++to 0.000581807
Heightened Def Con from 0.000582102 ++to 0.000582102
Heightened Def Con from 0.000582102 to 0.000582102
Heightened Def Con from 0.000582102 to 0.000582102
Heightened Def Con from 0.000582899 to 0.000582899
Heightened Def Con from 0.00058689 to 0.00058689
Heightened Def Con from 0.00058689 to 0.00058689
Heightened Def Con from 0.000587392 ++to 0.000587392
Heightened Def Con from 0.000587392 to 0.000587392
Heightened Def Con from 0.000587392 to 0.000587392
Heightened Def Con from 0.000587392 to 0.000587392
Heightened Def Con from 0.000587392 to 0.000587392
Heightened Def Con from 0.000588887 +to 0.000588887
Heightened Def Con from 0.000588887 to 0.000588887
Heightened Def Con from 0.000589287 to 0.000589287
Heightened Def Con from 0.000590789 to 0.000590789
Heightened Def Con from 0.000592685 to 0.000592685
Heightened Def Con from 0.000593285 to 0.000593285
Heightened Def Con from 0.000594684 to 0.000594684
Heightened Def Con from 0.000594684 ++++to 0.000594684
Heightened Def Con from 0.000594684 to 0.000594684
Heightened Def Con from 0.000594787 to 0.000594787
Heightened Def Con from 0.000595387 to 0.000595387
Heightened Def Con from 0.000595587 to 0.000595587
Heightened Def Con from 0.000595587 to 0.000595587
Heightened Def Con from 0.000595587 to 0.000595587
Heightened Def Con from 0.000597483 +to 0.000597483
Heightened Def Con from 0.000597483 ++to 0.000597483
Heightened Def Con from 0.000597483 to 0.000597483
Heightened Def Con from 0.000598585 to 0.000598585
Heightened Def Con from 0.000598585 +++to 0.000598585
Heightened Def Con from 0.000598585 to 0.000598585
Heightened Def Con from 0.000599584 +to 0.000599584
Heightened Def Con from 0.000599584 to 0.000599584
Heightened Def Con from 0.000599584 to 0.000599584
Heightened Def Con from 0.000605878 +to 0.000605878
Heightened Def Con from 0.000605878 to 0.000605878
Heightened Def Con from 0.000606878 ++to 0.000606878
Heightened Def Con from 0.000606878 to 0.000606878
Heightened Def Con from 0.000607477 to 0.000607477
Heightened Def Con from 0.000608979 +++++++++++++++++++to 0.00060898
Heightened Def Con from 0.000609876 to 0.000609876
Heightened Def Con from 0.000609876 to 0.000609876
Heightened Def Con from 0.000609876 +++to 0.000609876
Heightened Def Con from 0.000609876 to 0.000609876
Heightened Def Con from 0.000611675 ++++++++to 0.000611675
Heightened Def Con from 0.000611675 to 0.000611675
Heightened Def Con from 0.000614074 +to 0.000614074
Heightened Def Con from 0.000614074 to 0.000614074
Heightened Def Con from 0.000616575 to 0.000616575
